,time,day,duration,flow_rate,variability,isleak
0,4:44:08,Fri,80,0.793671888,0.163549773,FALSE
1,21:47:41,Sat,174,0.893327181,0.30095438,FALSE
2,15:52:03,Sun,179,1.971650535,0.675500998,FALSE
3,13:12:29,Sat,17,1.966782333,0.418536987,FALSE
4,22:16:24,Wed,33,0.67519411,0.131302714,FALSE
5,12:07:49,Thu,48,0.743649786,0.07708093,FALSE
6,3:32:08,Fri,17,0.720098593,0.555581275,FALSE
7,21:30:40,Fri,15,2.121431867,0.129389874,FALSE
8,0:18:11,Thu,44,3.181953674,0.373962194,FALSE
9,1:51:17,Sat,339,0.798750801,0.228307008,FALSE
10,22:54:39,Sat,48,0.688268844,0.294279219,FALSE
11,4:33:27,Fri,192,0.736003558,0.23798682,FALSE
12,7:50:29,Thu,42,0.737224402,0.475202161,FALSE
13,20:11:39,Wed,925,2.131507616,0.085073693,FALSE
14,22:13:28,Thu,13,2.008039021,0.20580486,FALSE
15,22:39:44,Tue,21,1.898701767,0.311261413,FALSE
16,21:47:32,Sun,72,2.593647512,0.11281729,FALSE
17,4:19:20,Fri,288,0.762826201,0.283635108,FALSE
18,20:14:01,Sat,42,0.686025771,0.40520723,FALSE
19,11:30:46,Wed,561,1.888182122,0.428926163,FALSE
20,14:48:11,Wed,27,0.983853056,0.135694887,FALSE
21,3:30:03,Wed,806,2.26255139,0.255585412,FALSE
22,17:17:59,Mon,75,0.619590034,0.377574839,FALSE
23,22:02:09,Thu,207,1.967334508,0.206099978,FALSE
24,13:41:55,Thu,18,2.770560737,0.533521713,FALSE
25,6:41:30,Tue,241,0.78256729,0.300074275,FALSE
26,10:43:35,Fri,21,1.887164696,0.322145093,FALSE
27,6:09:48,Fri,207,2.20945365,0.091180943,FALSE
28,9:29:08,Fri,67,0.480245711,0.229446319,FALSE
29,15:08:05,Mon,18,2.540249133,0.313435868,FALSE
30,23:25:13,Thu,10,0.631106284,0.178292393,FALSE
31,1:12:53,Fri,399,0.660435826,0.669884097,FALSE
32,19:37:57,Mon,140,2.162844216,0.19011208,FALSE
33,10:25:58,Mon,20,0.653929111,0.052593677,FALSE
34,2:34:18,Sun,356,0.798527403,0.17664819,FALSE
35,13:26:44,Sun,139,6.191374823,0.119807656,FALSE
36,12:33:49,Sun,21,0.540943373,0.095183122,FALSE
37,14:41:50,Sat,27,2.180375403,0.304965706,FALSE
38,17:03:48,Sat,44,0.916932046,0.266048279,FALSE
39,15:18:05,Sun,16,0.514973951,0.587001465,FALSE
40,12:31:09,Sun,32,6.062719531,0.118230423,FALSE
41,4:56:25,Fri,46,0.917893651,0.26800664,FALSE
42,21:13:12,Tue,119,3.060084337,0.14773904,FALSE
43,3:36:09,Tue,280,0.841089301,0.182863241,FALSE
44,10:48:35,Thu,17,0.776157848,0.293301902,FALSE
45,1:37:12,Tue,1042,0.622187322,0.232297907,FALSE
46,19:15:15,Sat,62,1.948186195,0.229522331,FALSE
47,21:11:55,Wed,224,0.655550508,0.62702623,FALSE
48,7:28:36,Thu,45,0.679512266,0.140341249,FALSE
49,13:53:46,Tue,499,2.485489172,0.376837821,FALSE
50,20:00:03,Fri,102,0.751643624,0.251260702,FALSE
51,11:20:42,Sun,953,6.634625111,0.172882753,FALSE
52,17:17:38,Sat,30,0.595030732,0.142610701,FALSE
53,13:41:24,Sat,448,0.667885643,0.158491956,FALSE
54,21:48:54,Wed,17,0.586822598,0.133343983,FALSE
55,22:01:28,Sun,13,0.64646585,0.189366276,FALSE
56,7:45:11,Wed,11,5.98300967,0.217691212,FALSE
57,6:59:19,Tue,333,0.542929799,0.553411451,FALSE
58,7:22:57,Tue,553,0.694540234,0.399182533,FALSE
59,21:44:32,Fri,14,1.848746026,0.595199288,FALSE
60,18:00:40,Fri,25,0.697136269,0.179666288,FALSE
61,1:58:48,Fri,11,0.671759352,0.256516005,FALSE
62,4:06:28,Sat,12,0.775960611,0.305669873,FALSE
63,11:19:49,Wed,14,1.10814621,0.508630584,FALSE
64,16:18:05,Mon,110,0.69215841,0.290402366,FALSE
65,17:04:50,Sat,270,1.978210569,0.153099064,FALSE
66,16:36:45,Sat,65,1.884410562,0.304916033,FALSE
67,0:24:58,Sun,174,0.61741228,0.313810033,FALSE
68,8:11:38,Wed,314,0.911537883,0.426601036,FALSE
69,14:46:17,Wed,684,0.707003506,0.490026889,FALSE
70,10:33:19,Sun,638,1.051511798,0.151682706,FALSE
71,7:04:08,Fri,35,0.673323936,0.253407876,FALSE
72,23:19:08,Wed,171,3.28198345,0.368550375,FALSE
73,3:35:47,Tue,28,0.702875129,0.062784168,FALSE
74,11:37:53,Sat,10,2.875936892,0.308610864,FALSE
75,14:15:17,Sat,19,1.28592574,0.146005675,FALSE
76,21:30:28,Sun,969,0.695023655,0.314012568,FALSE
77,14:38:05,Sun,36,2.799916747,0.154597969,FALSE
78,19:53:36,Thu,113,2.011359447,0.354257704,FALSE
79,16:23:11,Tue,11,1.829025629,0.677620071,FALSE
80,1:37:08,Fri,658,0.690568445,0.151813085,FALSE
81,12:43:53,Mon,48,2.607263729,0.610677623,FALSE
82,20:47:07,Mon,60,2.90622216,0.19699898,FALSE
83,11:40:16,Tue,1458,0.70560129,0.192307497,FALSE
84,22:12:33,Thu,125,1.921798321,0.166554227,FALSE
85,21:42:58,Thu,75,2.07306562,0.53349323,FALSE
86,8:36:45,Sun,206,1.158021616,0.201904273,FALSE
87,4:23:40,Fri,12,0.56935963,0.214490632,FALSE
88,19:06:27,Tue,13,1.168700113,0.252799302,FALSE
89,13:39:44,Tue,210,0.628539319,0.456488366,FALSE
90,2:40:40,Fri,14,0.598093533,0.458090669,FALSE
91,0:48:37,Tue,45,0.660641517,0.282508074,FALSE
92,1:30:08,Sat,1070,0.657993545,0.505041268,FALSE
93,3:11:40,Tue,12,0.810730901,0.092938179,FALSE
94,22:45:32,Fri,237,0.680301591,0.262014538,FALSE
95,12:52:36,Tue,34,0.744869349,0.439928514,FALSE
96,1:33:16,Wed,854,0.737466094,0.225586889,FALSE
97,17:47:31,Fri,106,0.732208896,0.439744473,FALSE
98,21:21:41,Thu,18,0.859111022,0.256526631,FALSE
99,18:59:32,Fri,58,1.462715428,0.207341036,FALSE
100,12:18:24,Mon,141,6.161550595,0.306232208,FALSE
101,7:47:19,Tue,116,5.518659653,0.196643082,FALSE
102,20:32:47,Thu,34,0.856638351,0.20645587,FALSE
103,3:45:39,Thu,232,0.861552619,0.280816698,FALSE
104,19:51:41,Fri,373,2.068941118,0.239128704,FALSE
105,1:12:55,Tue,1602,0.822430038,0.188328429,FALSE
106,9:38:46,Sun,774,1.938529373,0.293572124,FALSE
107,6:23:03,Wed,128,0.638684654,0.136886744,FALSE
108,14:41:31,Wed,264,2.077367383,0.21908666,FALSE
109,6:03:41,Thu,108,0.796451967,0.384733089,FALSE
110,9:41:29,Mon,92,0.794727487,0.244969595,FALSE
111,20:00:53,Sun,85,0.707065624,0.331151584,FALSE
112,3:37:13,Mon,113,2.567992803,0.181775923,FALSE
113,1:59:24,Sun,10,0.539438401,0.396792422,FALSE
114,0:57:08,Tue,17,1.428403149,0.289674754,FALSE
115,12:32:00,Tue,112,1.077572987,0.101290035,FALSE
116,15:25:23,Tue,304,0.698927585,0.260670285,FALSE
117,9:55:41,Tue,22,1.850481655,0.166580759,FALSE
